Name,placeID,address,location,rating,userRatingTotal
韻沏好醇茶專賣-嘉義民權店,ChIJw2V9rz-VbjQRPqOvHHu1E6A,600台灣嘉義市西區民權路422號,"23.4820795,120.4469436",4.9,82
家禾火雞肉飯,ChIJs3DHCi6UbjQRdmnivCm80Bc,"號 No. 247, 民生北路西區嘉義市台灣 600","23.4809373,120.4460071",4.4,453
品香便當-嘉義便當嘉/義便當推薦/嘉義排骨便當,ChIJ8x1xJDKUbjQR7QjtvZhZ2PI,600台灣嘉義市西區北榮街101號,"23.4808259,120.4491684",4.2,84
德洋壽司 嘉義美食 餐廳 日本料理 丼飯 燒烤 宵夜,ChIJK_2CGoW9bjQRFjUL5FFbYkE,600台灣嘉義市東區文化路224號1樓,"23.4808384,120.4495726",4.2,511
愛夫夫咖啡ifufucoffee,ChIJk4xXRH-VbjQRZZV3wBPHzys,600台灣嘉義市東區忠孝路552-1號,"23.4942401,120.4528193",4.5,92
蒸之元排骨酥,ChIJkwq0DUuVbjQRvd9GNuiFbnY,600台灣嘉義市西區北榮街107號之3號,"23.4809294,120.4488741",4.4,86
御皇蒸食,ChIJU5G4DS6UbjQRkY5iDO6IZe8,"No. 229號, No. 229號民生北路西區嘉義市台灣 600","23.4804219,120.4459434",4.1,122
廢溫室Greenhouse café,ChIJPQEF3g2VbjQRKPWWxopM2JI,600台灣嘉義市東區忠孝路346巷18號,"23.4890913,120.4549823",4.3,1448
你的香腸掉了,ChIJdXobCEaVbjQRdGv6-RWlHec,600台灣嘉義市西區北興街283號,"23.4859907,120.4375869",4.7,14
登豐美食-食餓食堂,ChIJsUGt1JqVbjQRV7T1jL5GkkY,600台灣嘉義市東區林森東路43號,"23.4867965,120.4550638",3.3,30
雙醬咖哩-嘉義店,ChIJu3JSGJaVbjQR4r7vcWYg734,600台灣嘉義市西區新榮路349號,"23.4802963,120.4439225",3.9,124
廟口鴨肉羹,ChIJyVhVjCqUbjQR088x4PkglNk,600台灣嘉義市西區興達路323號,"23.4865618,120.4370678",4.1,102
鼎記上海湯包,ChIJXT5eDt2VbjQRwIB_b_71aDk,600台灣嘉義市西區北榮街105號,"23.4807659,120.4488748",4.7,38
楓茶記 嘉義中山店,ChIJo8pVT16VbjQR5n3I2YPSSo8,600008台灣嘉義市東區中山路259號,"23.4804693,120.4511563",4.1,136
魚刺人雞蛋糕-嘉義店,ChIJVwszVS-UbjQRHiaIPbwJLPw,600台灣嘉義市東區中山路196號,"23.4810273,120.4518917",4.5,130
寶仔豆乳雞,ChIJPYQQA5MFbjQRTklt7u3VGfc,80347台灣高雄市鹽埕區大公路32號,"22.6269174,120.2844893",4.3,189
嘉義捲餅舖（李記餅店）,ChIJm-ndPF-VbjQRHNlOHW7NiZE,600台灣嘉義市東區中山路299號,"23.4800657,120.4501124",5,305
SUBWAY嘉義站前店,ChIJB-uOiDGUbjQR5O46eB919M4,600台灣嘉義市西區中山路505號,"23.4793446,120.4447208",3,628
北社尾米糕,ChIJ_YrbmyqUbjQRq66aFEQolV8,600台灣嘉義市西區北興街265之4號,"23.4857414,120.4379135",4.1,55
滷匠（匠一國華店）,ChIJVdkmz6CVbjQR77QSeuC6tBQ,600台灣嘉義市西區國華街80號,"23.4764707,120.4489358",4.5,56
南海茶道 嘉義林森店,ChIJE9Yk2C6VbjQRZ9373fe6BOg,600台灣嘉義市西區林森西路145號,"23.4839374,120.4481709",4.2,28
福星 藥頭排骨海鮮平價快炒,ChIJg9ztX9KVbjQRzTr3d3r4-fk,600台灣嘉義市西區興達路1號,"23.4892354,120.4455843",3.8,367
古早味炸麵包,ChIJq1PCJC2UbjQRLlgg42u4HC4,"號 No. 110, No. 110五顯街西區嘉義市台灣 600","23.4857735,120.4451131",4.9,24
小丸煮食茶專門 嘉義秀泰店,ChIJWwwyKNqVbjQRf6Dr-9kJhq0,600台灣嘉義市西區文化路289號,"23.4848871,120.4481636",3.9,155
Mister Donut嘉義秀泰門市,ChIJVx_ErzKUbjQRQ-cuNAIJaS4,600台灣嘉義市西區文化路299號,"23.4854668,120.4479389",4.2,138
紅茶洋行-嘉市吳鳳北店,ChIJv21IgNqVbjQRCmmc-CK5rQk,60049台灣嘉義市東區北門街30號,"23.4845201,120.4520888",4.7,17
紅茶洋行-博愛店,ChIJA9H5vaOVbjQRq2bYY-JSJ08,600台灣嘉義市西區博愛路二段36號-1號,"23.4834455,120.440924",3.3,6
一手私藏世界紅茶 嘉義民族店,ChIJ-UtLsN6VbjQR903CjbkC5Ao,600台灣嘉義市東區民族路162號,"23.476864,120.4577873",4.4,103
豪味亭國際茶飲-嘉義文化總店,ChIJ_WXLYqKVbjQRpcU2AYeHCzY,600台灣嘉義市東區文化路215號,"23.4818538,120.4490574",3.4,16
橘町搖搖-保安店,ChIJjaCutdWVbjQR9kd0M8YEW3o,600台灣嘉義市西區保安二路95號,"23.4919307,120.438349",4.4,13
江鳥咖啡-嘉義民北店,ChIJgSUdazmVbjQRu33sWvaHP9c,600台灣嘉義市西區民生北路271號,"23.4815197,120.4458829",4.9,274
凍一夏-冷熱飲專賣,ChIJ36oVhOaVbjQR7Ijh4Onjyvo,60045台灣嘉義市東區吳鳳北路411號,"23.4848574,120.4521154",4.9,452
姐妹咖啡（簡餐）,ChIJJQyMy9WVbjQRONXyHaph9GM,600台灣嘉義市西區保安二路115號,"23.492402,120.4383105",4.4,40
原南門圓環香菇肉羹臭豆腐,ChIJv9x00C2UbjQRyUosYxbkUNw,600台灣嘉義市西區民權路495號,"23.4817078,120.4450299",4.1,79
進發家 嘉義森活店 祖傳綠豆沙,ChIJkb31R3OVbjQRgDCwJDLvtIY,600台灣嘉義市東區忠孝路284號一樓,"23.4858141,120.4538135",4.5,251
果本堂-嘉義總店,ChIJI0Ox-SWUbjQRAI8bgPrVP6k,600台灣嘉義市東區吳鳳北路369號,"23.4838304,120.4521642",4,97
大發好茶,ChIJx2G3-7eVbjQRkZ_e7JuoP7Y,600台灣嘉義市西區北興街289號,"23.4860747,120.4373043",4.8,38
穀壹綠豆沙專門店,ChIJO3ibM8OVbjQRInptqj-uiKc,600台灣嘉義市西區北榮街76號,"23.4808551,120.4486198",4.9,966
彩虹燒( 檜意森活村店),ChIJ_eNCmjGUbjQRBulE8Cv8eGg,600台灣嘉義市東區共和路191巷6號,"23.4856239,120.4540825",4.9,572
杜芳子古味茶鋪-嘉義文化店,ChIJgbZ9R36VbjQRPd_Ik3A4RJc,600台灣嘉義市西區文化路161號,"23.4804812,120.4493576",4.8,251
小蝦米輕飲茶,ChIJofjQ7laVbjQRexf1Irc4zWk,600台灣嘉義市西區遠東街67號,"23.4854084,120.4372709",5,2
提米可可 嘉義文化店,ChIJXWS7OzKUbjQR4QgBcxEBEC4,600台灣嘉義市東區文化路220號600,"23.4808076,120.44952",3.9,50
樂·食堂,ChIJg8gHWp-VbjQRqVgUH7cSbCc,600台灣嘉義市東區蘭井街167號,"23.4774808,120.4509113",5,9
天仁茗茶 嘉義店,ChIJqe1z5DGUbjQRUtWZ-a3l4dE,600台灣嘉義市西區中山路330號,"23.4798142,120.4476344",4,52
叭啵蓋嘉義總店,ChIJe8Gp0LSVbjQRzSqX6ayy8EI,600台灣嘉義市東區文化路200號,"23.4805039,120.4496445",4.6,68
品京棧北興店,ChIJ--cZmyqUbjQRVlBFtpaW2Ow,600台灣嘉義市西區北興街345號,"23.4866251,120.4362609",4.2,44
18雞蛋糕販賣所,ChIJ_W1huqOVbjQRLg44ndIGxJ4,600台灣嘉義市東區忠孝路584號,"23.4957767,120.4525135",5,3
Mr.Wish 嘉義文化店,ChIJlx7iUfOVbjQR9CJiTusmLgQ,600台灣嘉義市東區文化路194號,"23.4804224,120.4496253",4,87
小斗笠 Gualaya 嘉義中山店,ChIJSw455SyVbjQR4jpJ7MzVvBc,600台灣嘉義市東區中山路279號,"23.4802104,120.4506887",4.9,80
阿來碗粿米糕,ChIJtRMWfzGUbjQR1Bu_Hk6V11s,600台灣嘉義市東區公明路412號,"23.4799268,120.4503482",4,66
Queen后 咖啡茶飲外帶霸（Queen后coffee）,ChIJWeIvtrmVbjQRibpvD_Xto3M,600台灣嘉義市西區忠義街127號,"23.4794787,120.4472361",4.8,57
熊賀茶莊,ChIJ356w7TGUbjQR4IWsJWCPnnk,600台灣嘉義市西區國華街200號,"23.4796978,120.4485557",4.6,436
圓石禪飲 - 嘉義文化店,ChIJ-UeJ7tCVbjQRgX0vMOq8OqA,600台灣嘉義市西區文化路35-1號,"23.4762842,120.4499224",3,2
吳家紅茶冰 嘉義興業店,ChIJPS4skkmUbjQRs1Gva00L5ak,600035台灣嘉義市東區興業東路363號,"23.4697041,120.4576885",4.8,24
嘉義行運8兩雞雞排中山店,ChIJv4MWgDGUbjQRvpqwBwPTjZQ,600台灣嘉義市東區中山路274號,"23.4801761,120.4499338",4.6,207
HWC黑沃咖啡 嘉義中山店,ChIJ-b1SOEKVbjQRRM1Pl7x-wF8,600台灣嘉義市西區中山路336號,"23.4798,120.4474833",4.5,123
雞仔恐龍蛋#雞蛋仔,ChIJIUSf7jOUbjQRD8Xre74WUcI,600台灣嘉義市東區成仁街186-1號,"23.4807761,120.4520734",4.9,43
JUST BURGER 加蔬特 無肉蔬食漢堡,ChIJnUgKLtmVbjQRitLs78pC78Q,600台灣嘉義市東區中山路272號,"23.4802197,120.450034",4.7,276
幸運茶森 ｜KOJO*Tea 考究手搖飲,ChIJEwVBP4aVbjQRKY7y5u6ancM,600台灣嘉義市東區中山路301號,"23.4800324,120.4500983",4.9,210
漢堡王 嘉義店,ChIJ_U0BZHmVbjQRjGwrX07oEo0,600台灣嘉義市西區中山路421號,"23.479563,120.4468955",4.4,1303
